eval_id,interaction_id,qa_score,customer_critical,business_critical,compliance_critical
QA-000114,INT-027754,0.88,0,0,0
QA-000115,INT-014979,0.88,0,0,0
QA-000116,INT-034976,0.0,1,1,0
QA-000117,INT-036430,0.94,0,0,0
QA-000118,INT-002411,0.93,0,0,0
QA-000119,INT-006799,0.0,0,0,1
QA-000120,INT-039331,0.97,0,0,0
QA-000121,INT-011903,1.0,0,0,0
QA-000122,INT-021546,0.95,0,0,0
QA-000123,INT-021541,0.85,0,0,0
QA-000124,INT-007888,1.0,0,0,0
QA-000125,INT-030291,0.99,0,0,0
QA-000126,INT-002002,0.0,1,1,0
QA-000127,INT-015593,1.0,0,0,0
QA-000128,INT-015594,0.96,0,0,0
QA-000129,INT-015592,0.94,0,0,0
QA-000130,INT-040122,0.92,0,0,0
QA-000131,INT-017215,0.0,1,0,1
QA-000132,INT-036814,0.96,0,0,0
QA-000133,INT-014426,0.94,0,0,0
QA-000134,INT-015852,0.87,0,0,0
QA-000135,INT-029753,0.96,0,0,0
QA-000136,INT-018676,0.0,0,1,0
QA-000137,INT-042232,0.93,0,0,0
QA-000138,INT-003069,1.0,0,0,0
QA-000139,INT-043780,0.97,0,0,0
QA-000140,INT-018620,0.0,1,0,0
QA-000141,INT-005852,0.96,0,0,0
QA-000142,INT-018679,0.96,0,0,0
QA-000143,INT-000342,1.0,0,0,0
QA-000144,INT-008350,0.92,0,0,0
QA-000145,INT-018470,0.86,0,0,0
QA-000146,INT-040665,0.95,0,0,0
QA-000147,INT-000340,0.0,0,0,1
QA-000148,INT-018677,0.83,0,0,0
QA-000149,INT-013343,0.95,0,0,0
QA-000150,INT-010697,0.89,0,0,0
QA-000151,INT-016668,1.0,0,0,0
QA-000152,INT-003582,0.96,0,0,0
QA-000153,INT-013279,1.0,0,0,0
QA-000154,INT-013342,0.92,0,0,0
QA-000155,INT-014125,0.84,0,0,0
QA-000156,INT-001865,1.0,0,0,0
QA-000157,INT-001866,0.92,0,0,0
QA-000158,INT-000657,0.0,0,0,1
QA-000159,INT-004130,0.99,0,0,0
QA-000160,INT-027371,0.98,0,0,0
QA-000161,INT-036982,1.0,0,0,0
QA-000162,INT-005062,0.97,0,0,0
QA-000163,INT-006437,0.98,0,0,0
QA-000164,INT-008478,1.0,0,0,0
QA-000165,INT-010795,0.86,0,0,0
QA-000166,INT-010874,0.92,0,0,0
QA-000167,INT-010873,1.0,0,0,0
QA-000168,INT-019464,0.96,0,0,0
QA-000169,INT-007973,0.96,0,0,0
QA-000170,INT-010875,0.98,0,0,0
QA-000171,INT-008132,0.89,0,0,0
QA-000172,INT-006282,0.95,0,0,0
QA-000173,INT-028307,0.9,0,0,0
QA-000174,INT-006015,0.0,1,0,0
QA-000175,INT-039335,0.83,0,0,0
QA-000176,INT-019137,0.84,0,0,0
QA-000177,INT-010132,0.79,0,0,0
QA-000178,INT-024153,1.0,0,0,0
QA-000179,INT-041664,1.0,0,0,0
QA-000180,INT-034954,0.81,0,0,0
QA-000181,INT-046229,1.0,0,0,0
QA-000182,INT-040008,1.0,0,0,0
QA-000183,INT-042402,0.94,0,0,0
QA-000184,INT-044799,1.0,0,0,0
QA-000185,INT-010713,1.0,0,0,0
QA-000186,INT-029635,0.76,0,0,0
QA-000187,INT-036766,0.94,0,0,0
QA-000188,INT-008514,0.95,0,0,0
QA-000189,INT-041295,0.85,0,0,0
QA-000190,INT-018175,0.98,0,0,0
QA-000191,INT-016258,0.97,0,0,0
QA-000192,INT-039425,0.84,0,0,0
QA-000193,INT-038097,0.93,0,0,0
QA-000194,INT-025769,0.0,1,0,0
QA-000195,INT-006167,0.91,0,0,0
QA-000196,INT-029715,0.92,0,0,0
QA-000197,INT-021712,0.0,1,0,0
QA-000198,INT-029709,1.0,0,0,0
QA-000199,INT-016284,0.98,0,0,0
QA-000200,INT-037902,0.0,1,0,0
QA-000201,INT-026960,0.96,0,0,0
QA-000202,INT-024202,0.92,0,0,0
QA-000203,INT-028864,0.97,0,0,0
QA-000204,INT-013571,1.0,0,0,0
QA-000205,INT-019258,0.87,0,0,0
QA-000206,INT-040518,0.97,0,0,0
QA-000207,INT-012497,1.0,0,0,0
QA-000208,INT-012035,0.94,0,0,0
QA-000209,INT-024367,0.95,0,0,0
QA-000210,INT-036198,0.93,0,0,0
QA-000211,INT-019818,0.96,0,0,0
QA-000212,INT-009704,0.0,0,1,0
QA-000213,INT-006532,0.0,1,0,0
QA-000214,INT-000739,0.89,0,0,0
QA-000215,INT-002293,1.0,0,0,0
QA-000216,INT-029994,0.91,0,0,0
QA-000217,INT-040463,1.0,0,0,0
QA-000218,INT-039753,1.0,0,0,0
QA-000219,INT-015177,0.98,0,0,0
QA-000220,INT-012501,0.93,0,0,0
QA-000221,INT-009912,0.99,0,0,0
QA-000222,INT-002448,0.99,0,0,0
QA-000223,INT-008854,0.92,0,0,0
QA-000224,INT-009917,0.91,0,0,0
QA-000225,INT-021856,0.92,0,0,0
QA-000226,INT-006251,1.0,0,0,0
QA-000227,INT-009916,0.98,0,0,0
QA-000228,INT-028717,1.0,0,0,0
QA-000229,INT-002447,0.88,0,0,0
QA-000230,INT-042465,0.0,1,0,0
QA-000231,INT-020584,0.84,0,0,0
QA-000232,INT-023310,0.98,0,0,0
QA-000233,INT-043675,1.0,0,0,0
QA-000234,INT-014246,0.84,0,0,0
QA-000235,INT-046291,0.88,0,0,0
QA-000236,INT-030690,0.0,0,1,0
QA-000237,INT-035832,0.97,0,0,0
QA-000238,INT-039108,1.0,0,0,0
QA-000239,INT-025676,0.85,0,0,0
QA-000240,INT-032095,0.97,0,0,0
QA-000241,INT-030686,0.89,0,0,0
QA-000242,INT-023094,0.97,0,0,0
QA-000243,INT-041483,0.91,0,0,0
QA-000244,INT-044515,0.96,0,0,0
QA-000245,INT-042621,0.0,1,0,0
QA-000246,INT-008535,0.0,1,0,0
QA-000247,INT-003030,0.9,0,0,0
QA-000248,INT-009796,0.95,0,0,0
QA-000249,INT-022715,0.0,0,0,1
QA-000250,INT-035911,0.0,0,0,1
QA-000251,INT-008977,0.92,0,0,0
QA-000252,INT-009797,1.0,0,0,0
QA-000253,INT-030948,1.0,0,0,0
QA-000254,INT-010945,0.93,0,0,0
QA-000255,INT-009790,0.97,0,0,0
QA-000256,INT-004918,0.85,0,0,0
QA-000257,INT-016858,1.0,0,0,0
QA-000258,INT-041636,0.92,0,0,0
QA-000259,INT-011950,0.94,0,0,0
QA-000260,INT-020931,0.9,0,0,0
QA-000261,INT-014678,0.93,0,0,0
QA-000262,INT-016857,0.0,1,0,0
QA-000263,INT-009871,1.0,0,0,0
QA-000264,INT-042492,0.98,0,0,0
QA-000265,INT-001314,1.0,0,0,0
QA-000266,INT-014679,0.91,0,0,0
QA-000267,INT-044516,0.9,0,0,0
QA-000268,INT-044207,0.93,0,0,0
QA-000269,INT-004503,1.0,0,0,0
QA-000270,INT-028060,0.86,0,0,0
QA-000271,INT-003472,0.85,0,0,0
QA-000272,INT-016855,1.0,0,0,0
QA-000273,INT-042805,1.0,0,0,0
QA-000274,INT-016539,0.85,0,0,0
QA-000275,INT-010004,0.93,0,0,0
QA-000276,INT-043684,0.94,0,0,0
QA-000277,INT-018715,1.0,0,0,0
QA-000278,INT-031792,0.85,0,0,0
QA-000279,INT-004695,1.0,0,0,0
QA-000280,INT-005923,0.96,0,0,0
QA-000281,INT-017881,0.99,0,0,0
QA-000282,INT-017878,0.8,0,0,0
QA-000283,INT-027388,1.0,0,0,0
QA-000284,INT-040682,1.0,0,0,0
QA-000285,INT-042850,1.0,0,0,0
QA-000286,INT-018912,0.95,0,0,0
QA-000287,INT-019373,0.0,0,1,0
QA-000288,INT-015645,0.0,1,0,0
QA-000289,INT-016034,0.96,0,0,0
QA-000290,INT-027629,1.0,0,0,0
QA-000291,INT-035039,0.96,0,0,0
QA-000292,INT-035040,0.95,0,0,0
QA-000293,INT-036990,0.93,0,0,0
QA-000294,INT-039610,0.0,0,1,0
QA-000295,INT-035038,0.92,0,0,0
QA-000296,INT-017774,0.89,0,0,0
QA-000297,INT-036993,1.0,0,0,0
QA-000298,INT-002479,0.0,1,0,0
QA-000299,INT-033568,0.0,0,0,1
QA-000300,INT-027908,0.0,0,0,1
QA-000301,INT-010195,1.0,0,0,0
QA-000302,INT-010574,0.94,0,0,0
QA-000303,INT-010572,0.0,0,1,0
QA-000304,INT-028107,0.0,0,1,0
QA-000305,INT-031207,0.98,0,0,0
QA-000306,INT-039509,0.93,0,0,0
QA-000307,INT-046331,0.9,0,0,0
QA-000308,INT-031686,0.0,0,0,1
QA-000309,INT-021656,0.96,0,0,0
QA-000310,INT-013678,0.96,0,0,0
QA-000311,INT-009221,1.0,0,0,0
QA-000312,INT-002831,0.79,0,0,0
QA-000313,INT-039808,0.84,0,0,0
QA-000314,INT-000395,0.96,0,0,0
QA-000315,INT-015395,1.0,0,0,0
QA-000316,INT-019947,0.95,0,0,0
QA-000317,INT-002828,0.96,0,0,0
QA-000318,INT-013167,0.92,0,0,0
QA-000319,INT-024649,0.91,0,0,0
QA-000320,INT-042400,0.93,0,0,0
QA-000321,INT-000399,0.0,0,1,0
QA-000322,INT-019948,1.0,0,0,0
QA-000323,INT-045174,1.0,0,0,0
QA-000324,INT-010617,1.0,0,0,0
QA-000325,INT-012654,0.92,0,0,0
QA-000326,INT-030866,1.0,0,0,0
QA-000327,INT-036951,0.87,0,0,0
QA-000328,INT-020050,0.86,0,0,0
QA-000329,INT-039468,1.0,0,0,0
QA-000330,INT-000668,1.0,0,0,0
QA-000331,INT-017850,0.93,0,0,0
QA-000332,INT-000868,0.98,0,0,0
QA-000333,INT-020691,0.0,1,0,0
QA-000334,INT-020690,0.95,0,0,0
QA-000335,INT-028017,0.94,0,0,0
QA-000336,INT-028016,0.93,0,0,0
QA-000337,INT-012140,0.98,0,0,0
QA-000338,INT-009248,0.93,0,0,0
QA-000339,INT-036142,0.94,0,0,0
QA-000340,INT-006972,0.9,0,0,0
QA-000341,INT-034100,0.97,0,0,0
QA-000342,INT-003095,0.9,0,0,0
QA-000343,INT-010791,0.92,0,0,0
QA-000344,INT-035455,0.99,0,0,0
QA-000345,INT-026631,0.92,0,0,0
QA-000346,INT-007583,0.96,0,0,0
QA-000347,INT-016812,0.0,0,0,1
QA-000348,INT-043332,0.92,0,0,0
QA-000349,INT-019000,1.0,0,0,0
QA-000350,INT-019666,1.0,0,0,0
QA-000351,INT-014543,0.98,0,0,0
QA-000352,INT-001822,0.82,0,0,0
QA-000353,INT-039147,0.97,0,0,0
QA-000354,INT-020154,0.0,0,0,1
QA-000355,INT-014400,0.88,0,0,0
QA-000356,INT-009417,0.0,0,1,0
QA-000357,INT-025301,1.0,0,0,0
QA-000358,INT-014398,1.0,0,0,0
QA-000359,INT-003023,0.81,0,0,0
QA-000360,INT-026643,0.97,0,0,0
QA-000361,INT-036605,0.97,0,0,0
QA-000362,INT-025097,0.97,0,0,0
QA-000363,INT-036604,0.96,0,0,0
QA-000364,INT-005684,0.98,0,0,0
QA-000365,INT-025094,0.77,0,0,0
QA-000366,INT-008167,0.91,0,0,0
QA-000367,INT-030512,0.95,0,0,0
QA-000368,INT-033169,0.0,1,0,0
QA-000369,INT-033165,1.0,0,0,0
QA-000370,INT-032974,0.96,0,0,0
QA-000371,INT-015548,0.84,0,0,0
QA-000372,INT-000514,0.82,0,0,0
QA-000373,INT-004601,0.79,0,0,0
QA-000374,INT-000516,0.95,0,0,0
QA-000375,INT-035515,0.95,0,0,0
QA-000376,INT-015549,0.9,0,0,0
QA-000377,INT-045095,0.96,0,0,0
QA-000378,INT-045302,0.91,0,0,0
QA-000379,INT-019585,0.84,0,0,0
QA-000380,INT-035089,0.94,0,0,0
QA-000381,INT-011812,0.0,0,1,0
QA-000382,INT-045097,0.0,1,0,0
QA-000383,INT-045365,0.83,0,0,0
QA-000384,INT-043862,0.96,0,0,0
QA-000385,INT-007252,0.92,0,0,0
QA-000386,INT-027802,0.95,0,0,0
QA-000387,INT-030738,0.0,1,0,0
QA-000388,INT-030580,0.98,0,0,0
QA-000389,INT-025953,0.95,0,0,0
QA-000390,INT-036031,1.0,0,0,0
QA-000391,INT-039044,0.87,0,0,0
QA-000392,INT-010314,0.0,0,1,0
QA-000393,INT-011940,0.94,0,0,0
QA-000394,INT-008113,0.99,0,0,0
QA-000395,INT-011122,1.0,0,0,0
QA-000396,INT-025869,1.0,0,0,0
QA-000397,INT-000140,0.9,0,0,0
QA-000398,INT-035935,0.95,0,0,0
QA-000399,INT-043773,0.93,0,0,0
QA-000400,INT-014852,0.93,0,0,0
QA-000401,INT-000138,0.88,0,0,0
QA-000402,INT-012722,0.92,0,0,0
QA-000403,INT-022258,0.99,0,0,0
QA-000404,INT-016287,0.88,0,0,0
QA-000405,INT-009547,1.0,0,0,0
QA-000406,INT-000139,0.94,0,0,0
QA-000407,INT-033849,0.86,0,0,0
QA-000408,INT-011649,0.99,0,0,0
QA-000409,INT-000078,0.93,0,0,0
QA-000410,INT-001114,0.0,0,0,1
QA-000411,INT-045692,1.0,0,0,0
QA-000412,INT-021347,1.0,0,0,0
QA-000413,INT-001636,0.98,0,0,0
QA-000414,INT-000080,0.89,0,0,0
QA-000415,INT-039929,0.95,0,0,0
QA-000416,INT-023395,0.95,0,0,0
QA-000417,INT-043275,0.95,0,0,0
QA-000418,INT-015313,0.0,0,1,0
QA-000419,INT-033015,0.0,1,0,0
QA-000420,INT-031335,1.0,0,0,0
QA-000421,INT-045680,0.75,0,0,0
QA-000422,INT-033156,0.89,0,0,0
QA-000423,INT-004350,0.89,0,0,0
QA-000424,INT-024235,0.88,0,0,0
QA-000425,INT-026945,0.91,0,0,0
QA-000426,INT-033701,0.93,0,0,0
QA-000427,INT-000018,1.0,0,0,0
QA-000428,INT-017347,0.92,0,0,0
QA-000429,INT-043252,0.98,0,0,0
QA-000430,INT-042124,1.0,0,0,0
QA-000431,INT-001193,0.86,0,0,0
QA-000432,INT-032585,0.0,1,0,0
QA-000433,INT-033302,1.0,0,0,0
QA-000434,INT-000019,0.92,0,0,0
QA-000435,INT-018226,0.92,0,0,0
QA-000436,INT-030410,0.99,0,0,0
QA-000437,INT-042439,0.0,0,1,0
QA-000438,INT-044219,0.95,0,0,0
QA-000439,INT-025922,0.86,0,0,0
QA-000440,INT-044123,0.91,0,0,0
QA-000441,INT-028853,0.98,0,0,0
QA-000442,INT-040679,0.91,0,0,0
QA-000443,INT-010022,1.0,0,0,0
QA-000444,INT-013864,0.97,0,0,0
QA-000445,INT-038381,0.87,0,0,0
QA-000446,INT-001299,1.0,0,0,0
QA-000447,INT-040680,0.93,0,0,0
QA-000448,INT-019057,1.0,0,0,0
QA-000449,INT-010020,0.93,0,0,0
QA-000450,INT-020966,1.0,0,0,0
QA-000451,INT-019351,0.91,0,0,0
QA-000452,INT-011536,0.92,0,0,0
QA-000453,INT-029212,0.97,0,0,0
QA-000454,INT-030344,0.9,0,0,0
QA-000455,INT-027587,0.97,0,0,0
QA-000456,INT-007286,1.0,0,0,0
QA-000457,INT-014252,0.98,0,0,0
QA-000458,INT-041711,0.99,0,0,0
QA-000459,INT-027283,1.0,0,0,0
QA-000460,INT-018287,0.0,1,0,0
QA-000461,INT-018289,0.94,0,0,0
QA-000462,INT-014318,1.0,0,0,0
QA-000463,INT-040961,1.0,0,0,0
QA-000464,INT-012066,0.0,1,0,0
QA-000465,INT-033618,0.0,1,0,0
QA-000466,INT-034214,0.97,0,0,0
QA-000467,INT-038212,1.0,0,0,0
QA-000468,INT-039249,0.9,0,0,0
QA-000469,INT-027586,0.93,0,0,0
QA-000470,INT-038214,0.99,0,0,0
QA-000471,INT-005058,0.87,0,0,0
QA-000472,INT-044716,0.89,0,0,0
QA-000473,INT-037421,0.87,0,0,0
QA-000474,INT-018866,0.93,0,0,0
QA-000475,INT-009561,0.99,0,0,0
QA-000476,INT-042011,1.0,0,0,0
QA-000477,INT-033946,0.96,0,0,0
QA-000478,INT-008422,0.0,1,0,0
QA-000479,INT-005281,1.0,0,0,0
QA-000480,INT-019159,0.96,0,0,0
QA-000481,INT-033684,0.91,0,0,0
QA-000482,INT-015010,1.0,0,0,0
QA-000483,INT-006190,0.94,0,0,0
QA-000484,INT-028065,0.88,0,0,0
QA-000485,INT-043665,0.95,0,0,0
QA-000486,INT-045798,0.87,0,0,0
QA-000487,INT-007121,1.0,0,0,0
QA-000488,INT-034299,0.0,1,0,0
QA-000489,INT-003340,1.0,0,0,0
QA-000490,INT-040918,0.0,0,1,0
QA-000491,INT-033682,0.95,0,0,0
QA-000492,INT-010252,0.98,0,0,0
QA-000493,INT-033687,0.94,0,0,0
QA-000494,INT-011347,0.93,0,0,0
QA-000495,INT-046212,0.92,0,0,0
QA-000496,INT-011348,1.0,0,0,0
QA-000497,INT-018455,0.78,0,0,0
QA-000498,INT-038446,1.0,0,0,0
QA-000499,INT-003371,1.0,0,0,0
QA-000500,INT-040711,1.0,0,0,0
QA-000501,INT-038445,0.0,1,0,0
QA-000502,INT-028762,0.97,0,0,0
QA-000503,INT-021321,0.94,0,0,0
QA-000504,INT-027261,0.0,1,0,0
QA-000505,INT-026804,0.97,0,0,0
QA-000506,INT-008002,0.0,1,0,0
QA-000507,INT-040879,0.0,0,0,1
QA-000508,INT-025574,1.0,0,0,0
QA-000509,INT-013642,0.94,0,0,0
QA-000510,INT-015073,0.8,0,0,0
QA-000511,INT-017355,0.92,0,0,0
QA-000512,INT-039653,0.0,0,1,1
QA-000513,INT-035098,0.0,0,1,0
QA-000514,INT-040307,1.0,0,0,0
QA-000515,INT-029027,1.0,0,0,0
QA-000516,INT-023454,0.89,0,0,0
QA-000517,INT-032992,1.0,0,0,0
QA-000518,INT-032987,0.0,1,0,0
QA-000519,INT-006374,0.0,0,0,1
QA-000520,INT-020173,1.0,0,0,0
QA-000521,INT-025802,0.0,0,1,0
QA-000522,INT-017291,0.82,0,0,0
QA-000523,INT-035029,1.0,0,0,0
QA-000524,INT-028918,0.99,0,0,0
QA-000525,INT-016981,0.9,0,0,0
QA-000526,INT-010796,0.0,1,1,0
QA-000527,INT-035071,0.96,0,0,0
QA-000528,INT-041324,0.87,0,0,0
QA-000529,INT-039614,1.0,0,0,0
QA-000530,INT-019909,0.89,0,0,0
QA-000531,INT-003346,0.92,0,0,0
QA-000532,INT-042985,0.92,0,0,0
QA-000533,INT-017505,0.82,0,0,0
QA-000534,INT-022097,1.0,0,0,0
QA-000535,INT-032385,0.96,0,0,0
QA-000536,INT-027783,1.0,0,0,0
QA-000537,INT-005553,0.91,0,0,0
QA-000538,INT-023901,0.97,0,0,0
QA-000539,INT-020985,0.92,0,0,0
QA-000540,INT-037561,0.87,0,0,0
QA-000541,INT-006472,0.98,0,0,0
QA-000542,INT-005915,0.97,0,0,0
QA-000543,INT-000507,0.87,0,0,0
QA-000544,INT-007316,1.0,0,0,0
QA-000545,INT-029894,0.94,0,0,0
QA-000546,INT-035247,0.92,0,0,0
QA-000547,INT-029896,1.0,0,0,0
QA-000548,INT-014554,0.81,0,0,0
QA-000549,INT-038302,1.0,0,0,0
QA-000550,INT-041242,0.86,0,0,0
QA-000551,INT-022274,1.0,0,0,0
QA-000552,INT-031774,0.93,0,0,0
QA-000553,INT-020255,0.99,0,0,0
QA-000554,INT-025499,0.92,0,0,0
QA-000555,INT-045965,1.0,0,0,0
QA-000556,INT-007792,0.91,0,0,0
QA-000557,INT-003899,0.93,0,0,0
QA-000558,INT-042980,0.91,0,0,0
QA-000559,INT-012192,0.0,1,0,0
QA-000560,INT-015847,0.91,0,0,0
QA-000561,INT-025800,0.93,0,0,0
QA-000562,INT-013087,1.0,0,0,0
QA-000563,INT-000857,0.94,0,0,0
QA-000564,INT-025978,0.93,0,0,0
QA-000565,INT-017317,0.0,1,0,0
QA-000566,INT-001235,0.92,0,0,0
QA-000567,INT-007136,0.89,0,0,0
QA-000568,INT-028000,0.89,0,0,0
QA-000569,INT-001232,1.0,0,0,0
QA-000570,INT-025564,0.99,0,0,0
QA-000571,INT-007139,1.0,0,0,0
QA-000572,INT-007141,0.87,0,0,0
QA-000573,INT-025500,0.93,0,0,0
QA-000574,INT-021058,0.97,0,0,0
QA-000575,INT-044201,0.86,0,0,0
QA-000576,INT-019476,0.0,1,0,0
QA-000577,INT-028624,0.94,0,0,0
QA-000578,INT-040278,1.0,0,0,0
QA-000579,INT-020235,0.0,0,0,1
QA-000580,INT-012263,0.86,0,0,0
QA-000581,INT-005437,0.94,0,0,0
QA-000582,INT-004519,0.97,0,0,0
QA-000583,INT-040237,0.0,1,0,0
QA-000584,INT-001492,0.93,0,0,0
QA-000585,INT-037580,0.83,0,0,0
QA-000586,INT-021059,1.0,0,0,0
QA-000587,INT-040279,0.97,0,0,0
QA-000588,INT-014044,0.93,0,0,0
QA-000589,INT-033805,1.0,0,0,0
QA-000590,INT-022003,0.85,0,0,0
QA-000591,INT-019475,1.0,0,0,0
QA-000592,INT-005438,0.97,0,0,0
QA-000593,INT-008554,0.98,0,0,0
QA-000594,INT-043087,0.94,0,0,0
QA-000595,INT-043084,1.0,0,0,0
QA-000596,INT-003053,0.94,0,0,0
QA-000597,INT-026039,1.0,0,0,0
QA-000598,INT-020473,0.92,0,0,0
QA-000599,INT-039031,0.0,0,1,0
QA-000600,INT-022209,0.88,0,0,0
QA-000601,INT-033437,0.0,1,0,0
QA-000602,INT-026042,0.98,0,0,0
QA-000603,INT-019801,0.0,1,0,0
QA-000604,INT-019709,0.0,0,0,1
QA-000605,INT-023749,0.92,0,0,0
QA-000606,INT-038814,0.88,0,0,0
QA-000607,INT-019500,1.0,0,0,0
QA-000608,INT-020223,0.99,0,0,0
QA-000609,INT-026924,0.88,0,0,0
QA-000610,INT-019374,0.95,0,0,0
QA-000611,INT-026800,0.97,0,0,0
QA-000612,INT-013716,0.96,0,0,0
QA-000613,INT-040560,0.91,0,0,0
QA-000614,INT-014409,0.96,0,0,0
QA-000615,INT-013712,0.0,1,0,0
QA-000616,INT-027509,0.92,0,0,0
QA-000617,INT-004737,0.92,0,0,0
QA-000618,INT-004718,0.94,0,0,0
QA-000619,INT-039208,0.94,0,0,0
QA-000620,INT-042637,0.0,0,0,1
QA-000621,INT-030946,0.99,0,0,0
QA-000622,INT-011452,0.9,0,0,0
QA-000623,INT-034346,1.0,0,0,0
QA-000624,INT-005658,0.0,1,0,0
QA-000625,INT-006317,0.99,0,0,0
QA-000626,INT-039207,0.0,1,0,0
QA-000627,INT-030002,0.87,0,0,0
QA-000628,INT-003823,0.89,0,0,0
QA-000629,INT-031194,0.0,1,0,0
QA-000630,INT-009115,0.0,0,1,0
QA-000631,INT-003826,1.0,0,0,0
QA-000632,INT-034146,0.93,0,0,0
QA-000633,INT-005332,0.0,0,1,0
