ticket_id,origin,symptom_cat,symptom,status,product,ticket_owner,language,fcr,escalated,ticket_created,ticket_closed,last_interaction_time,resolution_after_last_interaction_hours,lifecycle_hours
TKT-00034,email,rma,return,open,eardrop_headphones,4,english,0,0,2024-05-08 19:58:48,,,,
TKT-00035,email,rma,return,open,eardrop_headphones,2,english,0,0,2024-08-08 03:28:05,,,,
TKT-00036,chat,rma,replacement,closed,eardrop_headphones,10,english,0,0,2024-05-17 20:15:17,2024-05-20 19:01:35.000,2024-05-18 09:01:35.000,58.0,70.77166666666666
TKT-00037,phone,rma,return,closed,on-ear_headphones,10,english,0,0,2024-02-21 22:24:33,2024-02-26 04:47:21.400,2024-02-22 19:47:21.400,81.0,102.38011111111112
TKT-00038,chat,troubleshooting,sound resolution,closed,speaker_20wt,8,french,0,1,2024-10-04 23:51:04,2024-10-06 07:45:35.400,2024-10-05 19:45:35.400,12.0,31.90872222222222
TKT-00039,email,rma,replacement,closed,eardrop_headphones,2,german,0,0,2025-05-31 22:53:14,2025-06-04 01:10:38.400,2025-06-01 20:40:38.400,52.5,74.29011111111112
TKT-00040,chat,troubleshooting,sound resolution,closed,speaker_20wt,10,french,1,0,2024-11-27 22:59:19,2024-11-30 14:42:30.400,2024-11-28 21:42:30.400,41.0,63.719833333333334
TKT-00041,email,logistics,status of the order,closed,speaker_40wt,8,french,1,0,2025-05-31 14:00:30,2025-06-02 11:54:12.600,2025-05-31 09:24:12.600,50.5,45.89516666666667
TKT-00042,phone,rma,return,closed,on-ear_headphones,7,french,0,0,2025-02-17 14:47:25,2025-02-22 05:34:11.400,2025-02-17 20:34:11.400,105.0,110.77955555555556
TKT-00043,phone,logistics,lost package,closed,eardrop_headphones,3,english,0,0,2024-09-11 23:00:57,2024-09-15 06:44:37.000,2024-09-12 19:44:37.000,59.0,79.72777777777777
TKT-00044,chat,complaint,product complaint,closed,amplifier,11,german,1,0,2025-04-01 09:05:11,2025-04-04 05:38:45.800,2025-04-01 09:38:45.800,68.0,68.55966666666666
TKT-00045,email,finance,payment details,closed,eardrop_headphones,1,english,0,0,2025-05-01 14:30:54,2025-05-03 02:55:29.200,2025-05-01 09:55:29.200,41.0,36.409777777777784
TKT-00046,phone,troubleshooting,power supply,open,amplifier,7,english,1,0,2024-07-31 08:24:31,,,,
TKT-00047,phone,logistics,status of the order,closed,eardrop_headphones,5,german,1,0,2023-12-12 04:53:07,2023-12-14 05:36:56.400,2023-12-12 09:36:56.400,44.0,48.73038888888889
TKT-00048,email,rma,replacement,closed,speaker_flagship,4,german,0,1,2024-08-07 19:00:24,2024-08-08 05:53:32.200,2024-08-07 21:53:32.200,8.0,10.88561111111111
TKT-00049,email,product,product consulting / information,closed,on-ear_headphones,1,german,1,0,2025-02-07 14:30:43,2025-02-08 17:32:18.400,2025-02-07 10:02:18.400,31.5,27.0265
TKT-00050,chat,troubleshooting,bluetooth connection,closed,turntable,3,english,0,0,2025-08-11 08:04:24,2025-08-13 13:30:08.600,2025-08-11 20:00:08.600,41.5,53.42905555555556
TKT-00051,email,product,product consulting / information,closed,on-ear_headphones,6,english,1,0,2025-02-17 16:52:29,2025-02-18 19:26:59.800,2025-02-17 09:56:59.800,33.5,26.575222222222223
TKT-00052,chat,troubleshooting,power supply,closed,speaker_40wt,2,german,0,0,2025-04-07 11:42:25,2025-04-08 18:13:43.400,2025-04-07 10:13:43.400,32.0,30.521777777777775
TKT-00053,phone,rma,replacement,closed,speaker_20wt,2,french,0,0,2024-10-04 14:31:09,2024-10-07 09:43:50.200,2024-10-04 10:43:50.200,71.0,67.21144444444445
TKT-00054,email,rma,replacement,closed,speaker_flagship,4,french,1,0,2024-07-13 21:12:26,2024-07-16 12:43:42.600,2024-07-13 09:43:42.600,75.0,63.521277777777776
TKT-00055,email,logistics,status of the order,closed,on-ear_headphones,7,french,1,0,2024-03-30 12:36:21,2024-03-31 21:19:24.800,2024-03-30 10:19:24.800,35.0,32.71772222222222
TKT-00056,phone,rma,replacement,closed,speaker_20wt,1,english,0,0,2024-09-17 19:55:20,2024-09-22 05:08:12.600,2024-09-17 20:08:12.600,105.0,105.21461111111111
TKT-00057,chat,finance,unsuccessful payment,closed,turntable,4,english,0,0,2025-06-13 23:21:36,2025-06-16 17:28:18.000,2025-06-14 19:58:18.000,45.5,66.11166666666666
TKT-00058,chat,rma,return,closed,speaker_20wt,1,french,1,0,2023-10-27 11:09:58,2023-10-30 13:02:11.200,2023-10-27 21:32:11.200,63.5,73.87033333333333
TKT-00059,phone,logistics,status of the order,closed,eardrop_headphones,4,german,1,0,2025-06-06 21:26:34,2025-06-10 04:10:48.800,2025-06-07 19:10:48.800,57.0,78.73744444444444
TKT-00060,chat,complaint,product complaint,closed,amplifier,2,german,0,0,2024-07-16 05:35:43,2024-07-16 20:59:41.600,2024-07-16 08:29:41.600,12.5,15.399611111111112
TKT-00061,chat,product,product consulting / information,closed,speaker_40wt,5,english,1,0,2024-01-17 10:51:07,2024-01-18 15:02:04.000,2024-01-17 10:02:04.000,29.0,28.1825
TKT-00062,chat,troubleshooting,bluetooth connection,closed,speaker_40wt,11,german,0,0,2025-07-18 23:41:52,2025-07-21 02:31:02.400,2025-07-19 19:31:02.400,31.0,50.81955555555555
TKT-00063,chat,logistics,status of the order,closed,amplifier,8,french,0,0,2025-06-13 02:24:22,2025-06-15 17:50:25.400,2025-06-13 20:20:25.400,45.5,63.43427777777777
TKT-00064,email,finance,unsuccessful payment,closed,on-ear_headphones,3,english,0,1,2024-11-13 10:23:05,2024-11-14 13:52:11.400,2024-11-13 10:22:11.400,27.5,27.48511111111111
TKT-00065,email,rma,return,closed,on-ear_headphones,8,english,1,0,2025-05-21 09:40:07,2025-05-24 05:22:00.000,2025-05-21 09:22:00.000,68.0,67.69805555555556
TKT-00066,phone,troubleshooting,power supply,closed,speaker_20wt,3,french,0,0,2024-01-15 14:01:24,2024-01-16 18:04:58.000,2024-01-15 20:04:58.000,22.0,28.059444444444445
TKT-00067,chat,product,product consulting / information,closed,amplifier,9,english,1,0,2025-02-28 15:22:10,2025-03-02 04:46:34.800,2025-02-28 20:46:34.800,32.0,37.406888888888886
TKT-00068,phone,rma,return,closed,speaker_40wt,6,french,0,0,2025-06-18 04:05:02,2025-06-22 16:51:09.400,2025-06-18 19:51:09.400,93.0,108.76872222222222
TKT-00069,email,logistics,status of the order,closed,eardrop_headphones,5,english,0,0,2025-06-24 07:32:42,2025-06-26 15:12:06.400,2025-06-24 10:42:06.400,52.5,55.656777777777776
TKT-00070,chat,rma,return,closed,amplifier,4,french,0,0,2025-08-19 08:48:43,2025-08-20 04:42:35.600,2025-08-19 20:42:35.600,8.0,19.897944444444445
TKT-00071,email,rma,replacement,open,amplifier,8,french,0,0,2024-12-24 08:07:54,,,,
TKT-00072,email,troubleshooting,power supply,closed,eardrop_headphones,5,english,0,0,2025-03-26 03:21:57,2025-03-27 23:40:46.000,2025-03-26 10:10:46.000,37.5,44.31361111111111
TKT-00073,chat,troubleshooting,power supply,closed,eardrop_headphones,7,german,0,0,2025-07-15 11:39:54,2025-07-17 05:23:32.000,2025-07-15 20:23:32.000,33.0,41.727222222222224
TKT-00074,phone,troubleshooting,power supply,closed,eardrop_headphones,5,french,1,0,2025-06-16 02:07:49,2025-06-18 01:10:44.200,2025-06-16 09:10:44.200,40.0,47.04866666666667
TKT-00075,email,troubleshooting,bluetooth connection,closed,on-ear_headphones,12,english,0,0,2024-04-05 08:17:44,2024-04-06 21:24:27.200,2024-04-05 08:54:27.200,36.5,37.112
TKT-00076,chat,logistics,lost package,closed,eardrop_headphones,10,english,1,0,2023-09-23 00:22:59,2023-09-25 09:39:39.800,2023-09-23 21:09:39.800,36.5,57.278
TKT-00077,chat,logistics,status of the order,closed,eardrop_headphones,3,german,1,0,2024-08-08 18:42:54,2024-08-10 21:40:35.400,2024-08-08 20:10:35.400,49.5,50.9615
TKT-00078,email,troubleshooting,firmware,closed,on-ear_headphones,5,english,1,0,2025-08-20 10:34:11,2025-08-22 04:15:53.200,2025-08-20 10:45:53.200,41.5,41.695055555555555
TKT-00079,chat,troubleshooting,bluetooth connection,closed,speaker_20wt,10,german,1,0,2024-03-30 00:30:25,2024-04-01 00:35:08.000,2024-03-30 10:05:08.000,38.5,48.07861111111111
TKT-00080,phone,complaint,product complaint,closed,eardrop_headphones,10,english,0,1,2024-11-22 14:57:42,2024-11-25 16:31:11.400,2024-11-22 20:31:11.400,68.0,73.55816666666668
TKT-00081,email,product,product consulting / information,closed,eardrop_headphones,10,german,1,0,2023-12-26 11:09:30,2023-12-28 05:55:01.400,2023-12-26 19:55:01.400,34.0,42.75872222222222
TKT-00082,phone,troubleshooting,bluetooth connection,closed,on-ear_headphones,6,english,1,0,2023-12-23 07:41:50,2023-12-25 04:49:35.400,2023-12-23 19:49:35.400,33.0,45.12927777777777
TKT-00083,chat,rma,replacement,closed,eardrop_headphones,5,german,0,0,2025-04-28 12:34:49,2025-05-01 18:43:23.200,2025-04-28 20:13:23.200,70.5,78.14283333333334
TKT-00084,phone,logistics,lost package,closed,on-ear_headphones,9,german,0,0,2024-01-10 11:46:45,2024-01-12 22:35:29.000,2024-01-10 21:05:29.000,49.5,58.812222222222225
TKT-00085,chat,troubleshooting,firmware,closed,on-ear_headphones,11,english,1,0,2023-10-12 20:31:14,2023-10-13 21:24:01.800,2023-10-12 19:24:01.800,26.0,24.879944444444444
TKT-00086,chat,complaint,product complaint,closed,eardrop_headphones,5,english,0,0,2023-10-16 16:24:45,2023-10-19 16:32:33.600,2023-10-16 20:32:33.600,68.0,72.13016666666667
TKT-00087,phone,finance,unsuccessful payment,closed,eardrop_headphones,6,german,0,0,2023-12-20 01:04:55,2023-12-22 14:32:01.200,2023-12-20 21:02:01.200,41.5,61.45172222222222
TKT-00088,chat,rma,replacement,closed,on-ear_headphones,2,english,0,0,2024-04-13 21:12:11,2024-04-17 20:51:32.800,2024-04-14 19:51:32.800,73.0,95.65605555555555
TKT-00089,email,finance,payment details,new,turntable,11,german,0,0,2024-02-02 06:02:50,,,,
TKT-00090,email,logistics,status of the order,open,eardrop_headphones,7,french,1,0,2024-04-22 19:23:11,,,,
TKT-00091,email,troubleshooting,power supply,closed,eardrop_headphones,11,german,1,0,2024-05-23 07:11:30,2024-05-25 11:34:31.800,2024-05-23 19:34:31.800,40.0,52.38383333333333
TKT-00092,phone,rma,return,closed,speaker_40wt,1,english,0,0,2024-04-11 04:27:34,2024-04-13 21:27:58.800,2024-04-11 19:27:58.800,50.0,65.00688888888888
TKT-00093,phone,logistics,lost package,closed,on-ear_headphones,11,french,1,0,2025-04-05 04:59:28,2025-04-06 18:37:45.000,2025-04-05 09:37:45.000,33.0,37.63805555555555
TKT-00094,chat,finance,payment details,closed,speaker_flagship,3,german,0,1,2025-04-14 17:26:12,2025-04-16 08:07:54.000,2025-04-14 08:37:54.000,47.5,38.695
TKT-00095,phone,complaint,product complaint,closed,eardrop_headphones,9,german,0,0,2025-07-18 06:22:42,2025-07-21 05:06:09.200,2025-07-18 09:06:09.200,68.0,70.72422222222222
TKT-00096,chat,troubleshooting,sound resolution,closed,on-ear_headphones,2,german,1,0,2025-04-21 12:42:30,2025-04-22 09:39:20.800,2025-04-21 10:09:20.800,23.5,20.947444444444447
TKT-00097,email,complaint,product complaint,closed,speaker_flagship,3,english,0,0,2025-08-16 22:49:40,2025-08-20 06:19:38.800,2025-08-17 10:19:38.800,68.0,79.49966666666667
TKT-00098,phone,troubleshooting,power supply,closed,on-ear_headphones,10,french,1,0,2025-08-02 17:17:43,2025-08-04 12:33:04.600,2025-08-02 08:33:04.600,52.0,43.256
TKT-00099,phone,product,product consulting / information,closed,eardrop_headphones,8,german,1,0,2025-01-03 19:19:29,2025-01-04 20:58:12.800,2025-01-03 20:58:12.800,24.0,25.645500000000002
TKT-00100,phone,logistics,lost package,closed,on-ear_headphones,7,english,0,0,2024-03-07 03:57:14,2024-03-10 16:41:45.800,2024-03-07 21:41:45.800,67.0,84.74216666666666
TKT-00101,email,rma,replacement,closed,eardrop_headphones,11,german,0,0,2024-04-27 19:05:49,2024-04-30 12:03:19.000,2024-04-27 21:03:19.000,63.0,64.95833333333333
TKT-00102,chat,troubleshooting,power supply,closed,eardrop_headphones,7,german,0,0,2025-08-16 07:20:36,2025-08-17 22:57:35.000,2025-08-16 10:57:35.000,36.0,39.61638888888889
TKT-00103,phone,complaint,product complaint,closed,speaker_20wt,4,german,0,0,2024-10-17 18:44:25,2024-10-18 00:21:36.000,2024-10-17 08:21:36.000,16.0,5.619722222222222
TKT-00104,phone,product,product consulting / information,closed,eardrop_headphones,9,german,1,0,2024-06-17 02:12:38,2024-06-18 13:51:33.200,2024-06-17 09:21:33.200,28.5,35.648666666666664
TKT-00105,chat,logistics,lost package,closed,on-ear_headphones,10,english,0,0,2025-05-17 15:24:11,2025-05-20 15:05:57.600,2025-05-17 19:35:57.600,67.5,71.69627777777778
TKT-00106,email,rma,replacement,closed,amplifier,7,french,0,0,2024-09-02 09:46:48,2024-09-06 06:33:07.200,2024-09-02 21:03:07.200,81.5,92.772
TKT-00107,chat,product,product consulting / information,closed,eardrop_headphones,8,english,1,0,2024-02-05 18:16:44,2024-02-07 20:31:55.800,2024-02-06 21:31:55.800,23.0,50.253277777777775
TKT-00108,email,troubleshooting,bluetooth connection,closed,speaker_20wt,12,english,1,0,2024-07-17 18:06:01,2024-07-20 00:33:55.800,2024-07-17 20:33:55.800,52.0,54.465222222222216
TKT-00109,phone,rma,return,closed,eardrop_headphones,1,german,0,0,2025-04-15 01:45:59,2025-04-17 06:51:11.800,2025-04-15 19:21:11.800,35.5,53.086888888888886
TKT-00110,phone,rma,return,closed,speaker_flagship,12,english,0,0,2025-03-04 04:00:02,2025-03-06 15:42:40.600,2025-03-04 21:42:40.600,42.0,59.71072222222222
TKT-00111,email,product,product consulting / information,closed,on-ear_headphones,7,english,1,0,2025-03-08 14:59:06,2025-03-09 19:44:19.000,2025-03-08 09:44:19.000,34.0,28.753611111111113
TKT-00112,phone,product,product consulting / information,closed,on-ear_headphones,1,english,1,0,2025-07-12 13:48:32,2025-07-14 05:56:29.800,2025-07-12 19:56:29.800,34.0,40.13272222222222
TKT-00113,phone,troubleshooting,bluetooth connection,closed,eardrop_headphones,4,english,1,0,2024-01-22 00:25:50,2024-01-24 05:24:04.400,2024-01-22 09:24:04.400,44.0,52.970666666666666
TKT-00114,phone,logistics,status of the order,new,eardrop_headphones,12,german,1,0,2024-03-21 10:56:40,,,,
TKT-00115,phone,troubleshooting,bluetooth connection,open,amplifier,4,english,1,0,2025-01-16 15:41:30,,,,
TKT-00116,chat,rma,replacement,closed,amplifier,12,english,0,0,2024-11-18 12:59:06,2024-11-23 14:42:46.000,2024-11-18 21:12:46.000,113.5,121.72777777777777
TKT-00117,phone,complaint,product complaint,closed,eardrop_headphones,1,french,0,1,2025-06-10 08:11:26,2025-06-12 18:38:04.800,2025-06-10 08:08:04.800,58.5,58.444111111111106
TKT-00118,email,rma,replacement,closed,on-ear_headphones,4,french,0,0,2024-04-10 01:03:53,2024-04-15 20:30:20.600,2024-04-10 19:30:20.600,121.0,139.441
TKT-00119,email,logistics,status of the order,closed,speaker_20wt,7,french,1,0,2024-01-18 07:28:23,2024-01-21 15:50:42.200,2024-01-18 19:50:42.200,68.0,80.372
TKT-00120,phone,rma,replacement,closed,eardrop_headphones,12,english,0,1,2025-02-28 00:50:32,2025-03-04 12:06:34.200,2025-02-28 10:06:34.200,98.0,107.26727777777778
TKT-00121,phone,finance,unsuccessful payment,closed,on-ear_headphones,10,german,0,0,2024-08-03 18:51:13,2024-08-06 00:09:05.400,2024-08-03 19:09:05.400,53.0,53.297888888888885
TKT-00122,chat,rma,return,closed,speaker_40wt,11,english,0,0,2025-03-04 11:32:07,2025-03-08 04:03:15.600,2025-03-04 18:33:15.600,81.5,88.51905555555555
TKT-00123,email,troubleshooting,power supply,closed,on-ear_headphones,11,english,1,0,2024-08-03 02:30:37,2024-08-05 01:09:55.600,2024-08-03 10:09:55.600,39.0,46.655166666666666
TKT-00124,email,product,product consulting / information,new,on-ear_headphones,5,german,1,0,2024-06-18 07:46:48,,,,
TKT-00125,email,product,product consulting / information,closed,amplifier,11,german,1,0,2024-06-03 07:49:55,2024-06-05 04:53:25.200,2024-06-03 18:53:25.200,34.0,45.05838888888889
TKT-00126,email,complaint,service complaint,closed,speaker_20wt,2,english,0,0,2025-05-16 15:19:54,2025-05-17 22:00:34.000,2025-05-16 09:00:34.000,37.0,30.677777777777777
TKT-00127,email,rma,replacement,closed,on-ear_headphones,1,german,0,0,2023-12-04 21:20:52,2023-12-06 03:41:31.000,2023-12-05 19:41:31.000,8.0,30.344166666666666
TKT-00128,chat,finance,payment details,closed,speaker_40wt,8,english,0,0,2024-12-31 12:48:31,2025-01-03 06:34:29.000,2024-12-31 21:34:29.000,57.0,65.76611111111112
TKT-00129,phone,troubleshooting,power supply,closed,on-ear_headphones,9,english,1,0,2024-06-21 21:25:44,2024-06-23 23:40:12.800,2024-06-22 09:10:12.800,38.5,50.24133333333333
TKT-00130,chat,product,product consulting / information,closed,speaker_40wt,12,french,1,0,2024-01-12 20:16:51,2024-01-15 05:28:04.400,2024-01-13 19:28:04.400,34.0,57.18705555555555
TKT-00131,chat,complaint,product complaint,closed,on-ear_headphones,6,english,0,0,2023-09-20 02:48:04,2023-09-23 15:11:04.800,2023-09-20 19:11:04.800,68.0,84.38355555555555
TKT-00132,email,finance,unsuccessful payment,closed,on-ear_headphones,8,german,0,0,2024-08-02 08:19:16,2024-08-05 12:04:29.800,2024-08-02 21:34:29.800,62.5,75.75383333333333
TKT-00133,email,finance,payment details,closed,speaker_40wt,11,german,0,0,2025-05-29 18:03:05,2025-05-31 02:18:37.800,2025-05-29 19:48:37.800,30.5,32.25911111111111
TKT-00134,chat,rma,return,closed,turntable,7,english,0,0,2024-08-23 18:15:53,2024-08-26 23:27:45.000,2024-08-23 21:27:45.000,74.0,77.19777777777777
TKT-00135,chat,logistics,status of the order,open,turntable,1,german,1,0,2025-05-06 22:04:10,,,,
TKT-00136,email,rma,return,closed,speaker_40wt,3,english,0,0,2025-08-16 00:01:36,2025-08-21 14:42:09.200,2025-08-16 21:42:09.200,113.0,134.6758888888889
TKT-00137,chat,complaint,product complaint,closed,speaker_40wt,1,english,0,0,2024-08-05 16:25:02,2024-08-08 15:13:08.400,2024-08-05 19:13:08.400,68.0,70.80177777777777
TKT-00138,phone,complaint,product complaint,closed,eardrop_headphones,11,german,0,0,2023-09-21 03:18:29,2023-09-24 07:11:09.800,2023-09-21 20:11:09.800,59.0,75.878
TKT-00139,chat,troubleshooting,power supply,closed,speaker_40wt,9,english,1,0,2025-01-11 22:54:28,2025-01-13 11:15:51.400,2025-01-12 09:45:51.400,25.5,36.3565
TKT-00140,phone,logistics,status of the order,closed,amplifier,11,french,0,0,2024-02-15 05:51:33,2024-02-17 16:42:02.800,2024-02-15 09:42:02.800,55.0,58.841611111111106
TKT-00141,phone,product,product consulting / information,closed,eardrop_headphones,2,french,1,0,2024-10-23 06:15:30,2024-10-24 21:07:51.800,2024-10-23 21:37:51.800,23.5,38.87272222222222
TKT-00142,email,finance,payment details,closed,speaker_20wt,5,german,0,0,2024-01-17 07:07:33,2024-01-19 22:28:09.400,2024-01-17 09:28:09.400,61.0,63.343444444444444
TKT-00143,phone,finance,unsuccessful payment,closed,on-ear_headphones,1,english,0,0,2024-10-11 11:00:03,2024-10-13 06:19:56.000,2024-10-11 10:19:56.000,44.0,43.33138888888889
TKT-00144,chat,troubleshooting,power supply,closed,eardrop_headphones,12,french,1,0,2025-04-24 15:17:58,2025-04-26 03:43:38.400,2025-04-24 09:43:38.400,42.0,36.42788888888889
TKT-00145,email,complaint,service complaint,closed,speaker_40wt,2,german,0,1,2025-04-16 05:56:16,2025-04-17 18:39:15.600,2025-04-16 09:09:15.600,33.5,36.71655555555556
TKT-00146,chat,rma,replacement,closed,speaker_20wt,10,french,0,0,2024-06-13 02:45:27,2024-06-17 22:30:34.800,2024-06-13 10:00:34.800,108.5,115.75216666666667
TKT-00147,chat,finance,unsuccessful payment,closed,speaker_40wt,5,english,0,0,2024-10-22 15:17:18,2024-10-25 19:49:47.000,2024-10-22 19:49:47.000,72.0,76.54138888888889
TKT-00148,phone,logistics,lost package,closed,on-ear_headphones,2,german,0,0,2024-01-06 19:57:02,2024-01-10 05:18:41.200,2024-01-07 09:18:41.200,68.0,81.3608888888889
TKT-00149,email,troubleshooting,power supply,closed,eardrop_headphones,7,french,0,0,2023-11-14 15:22:49,2023-11-16 10:10:06.600,2023-11-14 20:10:06.600,38.0,42.788222222222224
TKT-00150,phone,product,product consulting / information,closed,speaker_20wt,11,german,1,0,2024-12-11 20:12:42,2024-12-13 19:29:07.800,2024-12-12 09:29:07.800,34.0,47.27383333333333
TKT-00151,chat,finance,unsuccessful payment,closed,speaker_20wt,11,english,0,0,2024-08-03 19:59:45,2024-08-07 06:25:55.200,2024-08-04 20:55:55.200,57.5,82.43616666666667
TKT-00152,email,finance,unsuccessful payment,closed,speaker_40wt,3,english,0,0,2025-07-16 12:33:00,2025-07-18 01:06:12.800,2025-07-16 20:06:12.800,29.0,36.553555555555555
TKT-00153,email,complaint,product complaint,closed,eardrop_headphones,2,french,1,0,2024-06-27 20:50:54,2024-06-30 03:40:53.600,2024-06-27 09:10:53.600,66.5,54.833222222222226
TKT-00154,email,rma,replacement,closed,eardrop_headphones,10,english,0,0,2023-12-15 10:52:26,2023-12-19 15:41:21.800,2023-12-15 20:41:21.800,91.0,100.8155
